Generated by GetData Graph Digitizer 2.26.0.20 on May 09 2026, 12:16
from file 'C:\Users\asus\Desktop\Picture1.jpg'

Line #1
 1.13057851239669e+002    3.05555555555556e+002
 1.09586776859504e+002    3.14009661835749e+002
 1.04132231404959e+002    3.24879227053140e+002
 9.86776859504132e+001    3.34541062801932e+002
 9.32231404958678e+001    3.42995169082126e+002
 8.92561983471074e+001    3.51449275362319e+002
 8.42975206611570e+001    3.57487922705314e+002
 7.88429752066116e+001    3.65942028985507e+002
 7.43801652892562e+001    3.76811594202899e+002
 7.04132231404959e+001    3.82850241545894e+002
 6.39669421487603e+001    3.91304347826087e+002
 5.85123966942149e+001    4.00966183574879e+002

12 degree
 2.40000000000000e+002    1.21980676328502e+002
 2.36528925619835e+002    1.30434782608696e+002
 2.31570247933884e+002    1.41304347826087e+002
 2.26611570247934e+002    1.55797101449275e+002
 2.22148760330579e+002    1.64251207729469e+002
 2.18181818181818e+002    1.75120772946860e+002
 2.13719008264463e+002    1.84782608695652e+002
 2.08760330578512e+002    1.96859903381643e+002
 2.04297520661157e+002    2.05314009661836e+002
 1.98842975206612e+002    2.17391304347826e+002
 1.93884297520661e+002    2.25845410628019e+002
 1.90413223140496e+002    2.36714975845411e+002
 1.84462809917355e+002    2.48792270531401e+002
 1.78512396694215e+002    2.59661835748792e+002
 1.73553719008264e+002    2.71739130434783e+002
 1.68099173553719e+002    2.78985507246377e+002
 1.63140495867769e+002    2.89855072463768e+002
 1.57685950413223e+002    3.00724637681159e+002
 1.51239669421488e+002    3.10386473429952e+002
 1.45289256198347e+002    3.21256038647343e+002
 1.39834710743802e+002    3.29710144927536e+002
 1.34380165289256e+002    3.39371980676329e+002
 1.28925619834711e+002    3.47826086956522e+002
 1.22975206611570e+002    3.56280193236715e+002
 1.14545454545455e+002    3.69565217391304e+002
 1.06115702479339e+002    3.82850241545894e+002
 9.91735537190083e+001    3.92512077294686e+002
 9.12396694214876e+001    4.02173913043478e+002
 8.23140495867769e+001    4.13043478260870e+002
 7.19008264462810e+001    4.23913043478261e+002
 6.74380165289256e+001    4.29951690821256e+002
